[2017-03-28 15:40:00.997] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 13, Size: 3, Distance: 749, Angle: -4757, SNR: 0, Speed: 68
[2017-03-28 15:40:01.096] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> System: '2(RSU-08)' DETECTION - 2017-03-28 15:40:01
[2017-03-28 15:40:01.096] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 0, Size: 2, Distance: 38, Angle: -4026, SNR: 0, Speed: -73
[2017-03-28 15:40:01.096] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 1, Size: 4, Distance: 64, Angle: -3496, SNR: 0, Speed: -97
[2017-03-28 15:40:01.096] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 2, Size: 4, Distance: 77, Angle: -760, SNR: 0, Speed: -73
[2017-03-28 15:40:01.096] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 3, Size: 3, Distance: 133, Angle: -3338, SNR: 0, Speed: 78
[2017-03-28 15:40:01.096] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 4, Size: 3, Distance: 168, Angle: -879, SNR: 0, Speed: -105
[2017-03-28 15:40:01.096] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 5, Size: 4, Distance: 299, Angle: -4928, SNR: 0, Speed: 71
[2017-03-28 15:40:01.096] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 6, Size: 4, Distance: 454, Angle: -718, SNR: 0, Speed: -98
[2017-03-28 15:40:01.096] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 7, Size: 3, Distance: 458, Angle: -3036, SNR: 0, Speed: 94
[2017-03-28 15:40:01.096] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 8, Size: 3, Distance: 529, Angle: -453, SNR: 0, Speed: -77
[2017-03-28 15:40:01.096] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 9, Size: 4, Distance: 595, Angle: -490, SNR: 0, Speed: -85
[2017-03-28 15:40:01.096] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 10, Size: 3, Distance: 707, Angle: -2799, SNR: 0, Speed: 72
[2017-03-28 15:40:01.096] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 11, Size: 3, Distance: 747, Angle: -5236, SNR: 0, Speed: 68
[2017-03-28 15:40:01.196] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> System: '2(RSU-08)' DETECTION - 2017-03-28 15:40:01
[2017-03-28 15:40:01.196] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 0, Size: 3, Distance: 38, Angle: -2772, SNR: 0, Speed: -73
[2017-03-28 15:40:01.196] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 1, Size: 3, Distance: 64, Angle: -3096, SNR: 0, Speed: -97
[2017-03-28 15:40:01.196] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 2, Size: 3, Distance: 79, Angle: -259, SNR: 0, Speed: -73
[2017-03-28 15:40:01.196] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 3, Size: 6, Distance: 131, Angle: -2826, SNR: 0, Speed: 78
[2017-03-28 15:40:01.196] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 4, Size: 2, Distance: 170, Angle: -1090, SNR: 0, Speed: -105
[2017-03-28 15:40:01.196] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 5, Size: 3, Distance: 299, Angle: -5554, SNR: 0, Speed: 71
[2017-03-28 15:40:01.196] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 6, Size: 2, Distance: 454, Angle: -4236, SNR: 0, Speed: 94
[2017-03-28 15:40:01.196] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 7, Size: 4, Distance: 458, Angle: -652, SNR: 0, Speed: -97
[2017-03-28 15:40:01.196] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 8, Size: 4, Distance: 531, Angle: -246, SNR: 0, Speed: -77
[2017-03-28 15:40:01.196] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 9, Size: 3, Distance: 597, Angle: -474, SNR: 0, Speed: -85
